,resto_id,resto_name,url,kota,rating,avg_price,min_price,max_price,std_price,preferred,open_time,close_time,length_time,dishes_list
0,1,wbc burger sabang kebon sirih,https://food.grab.com/id/id/restaurant/wbc-burger-sabang-kebon-sirih-delivery/6-C251LB5HL7UCRN?,Jakarta,5.0,38642.857142857145,25000.0,58000.0,8755.464765808045,1,10.0,20.0,10.0,['Burger']
1,2,two fat indians by queen s tandoor gondangdia,https://food.grab.com/id/id/restaurant/two-fat-indians-by-queen-s-tandoor-gondangdia-delivery/6-C2XUATKHG66YLN?,Jakarta,4.3,66906.66666666667,2800.0,349000.0,67317.69587395113,1,10.0,21.0,11.0,['International']
2,3,count three posbloc,https://food.grab.com/id/id/restaurant/count-three-posbloc-delivery/6-C3BUEEEBN4K1EA?,Jakarta,4.2,62767.69230769231,13750.0,144650.0,30177.2984348898,1,10.0,21.75,11.75,"['Cepat Saji', 'Burger', 'Chicken Wing', 'Cemilan']"
3,4,johnny rockets sahid sudirman,https://food.grab.com/id/id/restaurant/johnny-rockets-sahid-sudirman-delivery/IDGFSTI000002pd?,Jakarta,4.8,77113.3,31999.0,286000.0,51382.407785252726,1,10.0,21.0,11.0,"['International', 'Cemilan', 'Cepat Saji']"
4,5,burger bros duren sawit,https://food.grab.com/id/id/restaurant/burger-bros-duren-sawit-delivery/6-C3TJFFVCBEUAKE?,Jakarta,4.8,61286.16279069767,1000.0,295900.0,47815.464311560216,1,0.0,2.0,2.0,"['Cepat Saji', 'Ayam', 'Aneka Nasi', 'Cemilan']"
5,6,burger sultan duri kepa,https://food.grab.com/id/id/restaurant/burger-sultan-duri-kepa-delivery/6-C3N1AGBCVALEG2?,Jakarta,5.0,60927.77777777778,15000.0,199900.0,42676.95586295249,1,10.0,21.0,11.0,"['Burger', 'Burger', 'Roti', 'Cepat Saji']"
6,7,d clate food jati,https://food.grab.com/id/id/restaurant/d-clate-food-jati-delivery/6-CZMARZKVNUJUTA?,Jakarta,,18125.0,8000.0,40000.0,9426.525075551435,1,10.0,21.0,11.0,"['Masakan Tiong Hwa', 'Cemilan']"
7,8,meatz burger and toast kelapa gading barat,https://food.grab.com/id/id/restaurant/meatz-burger-and-toast-kelapa-gading-barat-delivery/6-C253VEK1RXLUFE?,Jakarta,4.9,55808.70967741936,18000.0,94990.0,21655.639322451323,1,10.0,21.0,11.0,['Burger']
8,9,keikpop by the food chain thamrin,https://food.grab.com/id/id/restaurant/keikpop-by-the-food-chain-thamrin-delivery/6-C26EC3ADRBDZJ2?,Jakarta,4.8,61443.13725490196,1300.0,148000.0,37822.23775226691,1,8.0,21.5,13.5,['Roti & Kue']
9,10,pisang goreng madu pasti menteng,https://food.grab.com/id/id/restaurant/pisang-goreng-madu-pasti-menteng-delivery/6-C3NTWF6TJEUKVX?,Jakarta,4.7,58125.0,1000.0,130000.0,43365.99330120319,1,10.0,21.0,11.0,"['Cemilan', 'Pencuci Mulut', 'Roti & Kue']"
